,ct_num,dt_num,cc_t_num,cc_i_num,ac_num,dc_num,apk_num,dpk_num,Total
1,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,1
5,0,0,0,0,1,0,0,0,1
11,0,0,0,0,1,0,0,0,1
16,0,0,0,0,0,0,0,0,0
24,0,0,10,0,10,0,0,0,20
35,0,1,41,0,0,0,0,0,42
44,0,0,0,0,5,0,0,0,5
52,0,0,22,0,0,0,0,0,22
80,0,0,1,0,0,0,0,0,1
81,1,5,0,0,0,0,0,0,6
101,2,0,0,0,0,10,0,0,12
102,0,0,0,0,4,4,2,2,12
115,0,0,1,0,0,0,0,0,1
116,0,0,5,0,0,0,0,0,5
154,0,0,0,0,1,0,0,0,1
233,0,0,0,0,3,0,0,0,3
236,0,0,0,0,1,0,0,0,1
285,0,0,0,0,0,6,0,0,6
Total,4,6,80,0,26,20,2,2,140
