version,num_of_tables,table_names
1,11,"['schema_version', 'files', 'file_deltas', 'manifests', 'manifest_deltas', 'public_keys', 'private_keys', 'manifest_certs', 'file_certs', 'posting_queue', 'sequence_numbers']"
2,11,"['schema_version', 'files', 'file_deltas', 'manifests', 'manifest_deltas', 'public_keys', 'private_keys', 'manifest_certs', 'file_certs', 'posting_queue', 'sequence_numbers']"
10,9,"['posting_queue', 'incoming_queue', 'sequence_numbers', 'netserver_manifests', 'manifest_certs', 'file_certs', 'public_keys', 'private_keys', 'merkle_nodes']"
11,9,"['posting_queue', 'incoming_queue', 'sequence_numbers', 'netserver_manifests', 'manifest_certs', 'file_certs', 'public_keys', 'private_keys', 'merkle_nodes']"
12,9,"['posting_queue', 'incoming_queue', 'sequence_numbers', 'netserver_manifests', 'manifest_certs', 'file_certs', 'public_keys', 'private_keys', 'merkle_nodes']"
13,9,"['posting_queue', 'incoming_queue', 'sequence_numbers', 'netserver_manifests', 'manifest_certs', 'file_certs', 'public_keys', 'private_keys', 'merkle_nodes']"
14,9,"['posting_queue', 'incoming_queue', 'sequence_numbers', 'netserver_manifests', 'manifest_certs', 'file_certs', 'public_keys', 'private_keys', 'merkle_nodes']"
15,6,"['manifest_certs', 'public_keys', 'private_keys', 'revision_certs', 'revisions', 'revision_ancestry']"
16,6,"['manifest_certs', 'public_keys', 'private_keys', 'revision_certs', 'revisions', 'revision_ancestry']"
17,7,"['manifest_certs', 'public_keys', 'private_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs']"
18,8,"['manifest_certs', 'public_keys', 'private_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs', 'db_vars']"
19,8,"['manifest_certs', 'public_keys', 'private_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs', 'db_vars']"
20,8,"['manifest_certs', 'public_keys', 'private_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs', 'db_vars']"
21,8,"['manifest_certs', 'public_keys', 'private_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs', 'db_vars']"
22,8,"['manifest_certs', 'public_keys', 'private_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs', 'db_vars']"
23,8,"['manifest_certs', 'public_keys', 'private_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs', 'db_vars']"
24,7,"['manifest_certs', 'public_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs', 'db_vars']"
25,7,"['manifest_certs', 'public_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs', 'db_vars']"
26,13,"['manifest_certs', 'public_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs', 'db_vars', 'rosters', 'roster_deltas', 'revision_roster', 'next_roster_node_number', 'files', 'file_deltas']"
27,13,"['manifest_certs', 'public_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs', 'db_vars', 'rosters', 'roster_deltas', 'revision_roster', 'next_roster_node_number', 'files', 'file_deltas']"
28,13,"['manifest_certs', 'public_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs', 'db_vars', 'rosters', 'roster_deltas', 'revision_roster', 'next_roster_node_number', 'files', 'file_deltas']"
29,13,"['manifest_certs', 'public_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs', 'db_vars', 'rosters', 'roster_deltas', 'revision_roster', 'next_roster_node_number', 'files', 'file_deltas']"
30,12,"['manifest_certs', 'public_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs', 'db_vars', 'next_roster_node_number', 'files', 'file_deltas', 'rosters', 'roster_deltas']"
31,12,"['manifest_certs', 'public_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs', 'db_vars', 'next_roster_node_number', 'files', 'file_deltas', 'rosters', 'roster_deltas']"
32,13,"['manifest_certs', 'public_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs', 'db_vars', 'next_roster_node_number', 'files', 'file_deltas', 'rosters', 'roster_deltas', 'heights']"
33,13,"['manifest_certs', 'public_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs', 'db_vars', 'next_roster_node_number', 'files', 'file_deltas', 'rosters', 'roster_deltas', 'heights']"
34,13,"['manifest_certs', 'public_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs', 'db_vars', 'next_roster_node_number', 'files', 'file_deltas', 'rosters', 'roster_deltas', 'heights']"
35,13,"['manifest_certs', 'public_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs', 'db_vars', 'next_roster_node_number', 'files', 'file_deltas', 'rosters', 'roster_deltas', 'heights']"
36,13,"['manifest_certs', 'public_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs', 'db_vars', 'next_roster_node_number', 'files', 'file_deltas', 'rosters', 'roster_deltas', 'heights']"
37,13,"['manifest_certs', 'public_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs', 'db_vars', 'next_roster_node_number', 'files', 'file_deltas', 'rosters', 'roster_deltas', 'heights']"
38,13,"['manifest_certs', 'public_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs', 'db_vars', 'next_roster_node_number', 'files', 'file_deltas', 'rosters', 'roster_deltas', 'heights']"
39,13,"['manifest_certs', 'public_keys', 'revision_certs', 'revisions', 'revision_ancestry', 'branch_epochs', 'db_vars', 'next_roster_node_number', 'files', 'file_deltas', 'rosters', 'roster_deltas', 'heights']"
40,13,"['manifest_certs', 'public_keys', 'revisions', 'revision_ancestry', 'db_vars', 'next_roster_node_number', 'files', 'file_deltas', 'rosters', 'roster_deltas', 'heights', 'revision_certs', 'branch_epochs']"
41,13,"['manifest_certs', 'public_keys', 'revisions', 'revision_ancestry', 'db_vars', 'next_roster_node_number', 'files', 'file_deltas', 'rosters', 'roster_deltas', 'heights', 'revision_certs', 'branch_epochs']"
42,13,"['manifest_certs', 'public_keys', 'revisions', 'revision_ancestry', 'db_vars', 'next_roster_node_number', 'files', 'file_deltas', 'rosters', 'roster_deltas', 'heights', 'revision_certs', 'branch_epochs']"
43,13,"['manifest_certs', 'public_keys', 'revisions', 'revision_ancestry', 'db_vars', 'next_roster_node_number', 'files', 'file_deltas', 'rosters', 'roster_deltas', 'heights', 'revision_certs', 'branch_epochs']"
44,13,"['manifest_certs', 'public_keys', 'revisions', 'revision_ancestry', 'db_vars', 'next_roster_node_number', 'files', 'file_deltas', 'rosters', 'roster_deltas', 'heights', 'revision_certs', 'branch_epochs']"
45,13,"['manifest_certs', 'revisions', 'revision_ancestry', 'db_vars', 'next_roster_node_number', 'files', 'file_deltas', 'rosters', 'roster_deltas', 'heights', 'branch_epochs', 'public_keys', 'revision_certs']"
46,14,"['manifest_certs', 'revisions', 'revision_ancestry', 'db_vars', 'next_roster_node_number', 'files', 'file_deltas', 'rosters', 'roster_deltas', 'heights', 'branch_epochs', 'public_keys', 'revision_certs', 'branch_leaves']"
47,14,"['manifest_certs', 'revisions', 'revision_ancestry', 'db_vars', 'next_roster_node_number', 'files', 'file_deltas', 'rosters', 'roster_deltas', 'heights', 'branch_epochs', 'public_keys', 'revision_certs', 'branch_leaves']"
48,14,"['manifest_certs', 'revisions', 'revision_ancestry', 'db_vars', 'next_roster_node_number', 'files', 'file_deltas', 'rosters', 'roster_deltas', 'heights', 'branch_epochs', 'public_keys', 'revision_certs', 'branch_leaves']"
