version,num_of_tables,table_names
1,11,"['schema_version', 'files', 'file_deltas', 'manifests', 'manifest_deltas', 'public_keys', 'private_keys', 'manifest_certs', 'file_certs', 'posting_queue', 'sequence_numbers']"
2,11,"['schema_version', 'files', 'file_deltas', 'manifests', 'manifest_deltas', 'public_keys', 'private_keys', 'manifest_certs', 'file_certs', 'posting_queue', 'sequence_numbers']"
10,14,"['schema_version', 'files', 'file_deltas', 'manifests', 'manifest_deltas', 'public_keys', 'private_keys', 'manifest_certs', 'file_certs', 'posting_queue', 'incoming_queue', 'sequence_numbers', 'netserver_manifests', 'merkle_nodes']"
11,14,"['schema_version', 'files', 'file_deltas', 'manifests', 'manifest_deltas', 'public_keys', 'private_keys', 'manifest_certs', 'file_certs', 'posting_queue', 'incoming_queue', 'sequence_numbers', 'netserver_manifests', 'merkle_nodes']"
12,14,"['schema_version', 'files', 'file_deltas', 'manifests', 'manifest_deltas', 'public_keys', 'private_keys', 'manifest_certs', 'file_certs', 'posting_queue', 'incoming_queue', 'sequence_numbers', 'netserver_manifests', 'merkle_nodes']"
13,14,"['schema_version', 'files', 'file_deltas', 'manifests', 'manifest_deltas', 'public_keys', 'private_keys', 'manifest_certs', 'file_certs', 'posting_queue', 'incoming_queue', 'sequence_numbers', 'netserver_manifests', 'merkle_nodes']"
14,14,"['schema_version', 'files', 'file_deltas', 'manifests', 'manifest_deltas', 'public_keys', 'private_keys', 'manifest_certs', 'file_certs', 'posting_queue', 'incoming_queue', 'sequence_numbers', 'netserver_manifests', 'merkle_nodes']"
15,11,"['files', 'file_deltas', 'manifests', 'manifest_deltas', 'revisions', 'revision_ancestry', 'public_keys', 'private_keys', 'manifest_certs', 'revision_certs', 'merkle_nodes']"
16,11,"['files', 'file_deltas', 'manifests', 'manifest_deltas', 'revisions', 'revision_ancestry', 'public_keys', 'private_keys', 'manifest_certs', 'revision_certs', 'merkle_nodes']"
17,11,"['files', 'file_deltas', 'manifests', 'manifest_deltas', 'revisions', 'revision_ancestry', 'public_keys', 'private_keys', 'manifest_certs', 'revision_certs', 'branch_epochs']"
18,12,"['files', 'file_deltas', 'manifests', 'manifest_deltas', 'revisions', 'revision_ancestry', 'public_keys', 'private_keys', 'manifest_certs', 'revision_certs', 'branch_epochs', 'db_vars']"
19,12,"['files', 'file_deltas', 'manifests', 'manifest_deltas', 'revisions', 'revision_ancestry', 'public_keys', 'private_keys', 'manifest_certs', 'revision_certs', 'branch_epochs', 'db_vars']"
20,12,"['files', 'file_deltas', 'manifests', 'manifest_deltas', 'revisions', 'revision_ancestry', 'public_keys', 'private_keys', 'manifest_certs', 'revision_certs', 'branch_epochs', 'db_vars']"
21,12,"['files', 'file_deltas', 'manifests', 'manifest_deltas', 'revisions', 'revision_ancestry', 'public_keys', 'private_keys', 'manifest_certs', 'revision_certs', 'branch_epochs', 'db_vars']"
22,12,"['files', 'file_deltas', 'manifests', 'manifest_deltas', 'revisions', 'revision_ancestry', 'public_keys', 'private_keys', 'manifest_certs', 'revision_certs', 'branch_epochs', 'db_vars']"
23,12,"['files', 'file_deltas', 'manifests', 'manifest_deltas', 'revisions', 'revision_ancestry', 'public_keys', 'private_keys', 'manifest_certs', 'revision_certs', 'branch_epochs', 'db_vars']"
24,11,"['files', 'file_deltas', 'manifests', 'manifest_deltas', 'revisions', 'revision_ancestry', 'public_keys', 'manifest_certs', 'revision_certs', 'branch_epochs', 'db_vars']"
25,11,"['files', 'file_deltas', 'manifests', 'manifest_deltas', 'revisions', 'revision_ancestry', 'public_keys', 'manifest_certs', 'revision_certs', 'branch_epochs', 'db_vars']"
26,15,"['files', 'file_deltas', 'manifests', 'manifest_deltas', 'revisions', 'revision_ancestry', 'rosters', 'roster_deltas', 'revision_roster', 'next_roster_node_number', 'public_keys', 'manifest_certs', 'revision_certs', 'branch_epochs', 'db_vars']"
27,15,"['files', 'file_deltas', 'manifests', 'manifest_deltas', 'revisions', 'revision_ancestry', 'rosters', 'roster_deltas', 'revision_roster', 'next_roster_node_number', 'public_keys', 'manifest_certs', 'revision_certs', 'branch_epochs', 'db_vars']"
28,15,"['files', 'file_deltas', 'manifests', 'manifest_deltas', 'revisions', 'revision_ancestry', 'rosters', 'roster_deltas', 'revision_roster', 'next_roster_node_number', 'public_keys', 'manifest_certs', 'revision_certs', 'branch_epochs', 'db_vars']"
29,15,"['files', 'file_deltas', 'manifests', 'manifest_deltas', 'revisions', 'revision_ancestry', 'rosters', 'roster_deltas', 'revision_roster', 'next_roster_node_number', 'public_keys', 'manifest_certs', 'revision_certs', 'branch_epochs', 'db_vars']"
30,14,"['files', 'file_deltas', 'manifests', 'manifest_deltas', 'revisions', 'revision_ancestry', 'rosters', 'roster_deltas', 'next_roster_node_number', 'public_keys', 'manifest_certs', 'revision_certs', 'branch_epochs', 'db_vars']"
31,14,"['files', 'file_deltas', 'manifests', 'manifest_deltas', 'revisions', 'revision_ancestry', 'rosters', 'roster_deltas', 'next_roster_node_number', 'public_keys', 'manifest_certs', 'revision_certs', 'branch_epochs', 'db_vars']"
32,15,"['files', 'file_deltas', 'manifests', 'manifest_deltas', 'revisions', 'revision_ancestry', 'heights', 'rosters', 'roster_deltas', 'next_roster_node_number', 'public_keys', 'manifest_certs', 'revision_certs', 'branch_epochs', 'db_vars']"
33,15,"['files', 'file_deltas', 'revisions', 'revision_ancestry', 'heights', 'rosters', 'roster_deltas', 'next_roster_node_number', 'public_keys', 'revision_certs', 'branch_epochs', 'db_vars', 'manifests', 'manifest_deltas', 'manifest_certs']"
34,15,"['files', 'file_deltas', 'revisions', 'revision_ancestry', 'heights', 'rosters', 'roster_deltas', 'next_roster_node_number', 'public_keys', 'revision_certs', 'branch_epochs', 'db_vars', 'manifests', 'manifest_deltas', 'manifest_certs']"
35,15,"['files', 'file_deltas', 'revisions', 'revision_ancestry', 'heights', 'rosters', 'roster_deltas', 'next_roster_node_number', 'public_keys', 'revision_certs', 'branch_epochs', 'db_vars', 'manifests', 'manifest_deltas', 'manifest_certs']"
36,15,"['files', 'file_deltas', 'revisions', 'revision_ancestry', 'heights', 'rosters', 'roster_deltas', 'next_roster_node_number', 'public_keys', 'revision_certs', 'branch_epochs', 'db_vars', 'manifests', 'manifest_deltas', 'manifest_certs']"
37,15,"['files', 'file_deltas', 'revisions', 'revision_ancestry', 'heights', 'rosters', 'roster_deltas', 'next_roster_node_number', 'public_keys', 'revision_certs', 'branch_epochs', 'db_vars', 'manifests', 'manifest_deltas', 'manifest_certs']"
38,15,"['files', 'file_deltas', 'revisions', 'revision_ancestry', 'heights', 'rosters', 'roster_deltas', 'next_roster_node_number', 'public_keys', 'revision_certs', 'branch_epochs', 'db_vars', 'manifests', 'manifest_deltas', 'manifest_certs']"
39,15,"['files', 'file_deltas', 'revisions', 'revision_ancestry', 'heights', 'rosters', 'roster_deltas', 'next_roster_node_number', 'public_keys', 'revision_certs', 'branch_epochs', 'db_vars', 'manifests', 'manifest_deltas', 'manifest_certs']"
40,15,"['files', 'file_deltas', 'revisions', 'revision_ancestry', 'heights', 'rosters', 'roster_deltas', 'next_roster_node_number', 'public_keys', 'revision_certs', 'branch_epochs', 'db_vars', 'manifests', 'manifest_deltas', 'manifest_certs']"
41,15,"['files', 'file_deltas', 'revisions', 'revision_ancestry', 'heights', 'rosters', 'roster_deltas', 'next_roster_node_number', 'public_keys', 'revision_certs', 'branch_epochs', 'db_vars', 'manifests', 'manifest_deltas', 'manifest_certs']"
42,15,"['files', 'file_deltas', 'revisions', 'revision_ancestry', 'heights', 'rosters', 'roster_deltas', 'next_roster_node_number', 'public_keys', 'revision_certs', 'branch_epochs', 'db_vars', 'manifests', 'manifest_deltas', 'manifest_certs']"
43,15,"['files', 'file_deltas', 'revisions', 'revision_ancestry', 'heights', 'rosters', 'roster_deltas', 'next_roster_node_number', 'public_keys', 'revision_certs', 'branch_epochs', 'db_vars', 'manifests', 'manifest_deltas', 'manifest_certs']"
44,15,"['files', 'file_deltas', 'revisions', 'revision_ancestry', 'heights', 'rosters', 'roster_deltas', 'next_roster_node_number', 'public_keys', 'revision_certs', 'branch_epochs', 'db_vars', 'manifests', 'manifest_deltas', 'manifest_certs']"
45,15,"['files', 'file_deltas', 'revisions', 'revision_ancestry', 'heights', 'rosters', 'roster_deltas', 'next_roster_node_number', 'public_keys', 'revision_certs', 'branch_epochs', 'db_vars', 'manifests', 'manifest_deltas', 'manifest_certs']"
46,16,"['files', 'file_deltas', 'revisions', 'revision_ancestry', 'heights', 'rosters', 'roster_deltas', 'next_roster_node_number', 'public_keys', 'revision_certs', 'branch_epochs', 'branch_leaves', 'db_vars', 'manifests', 'manifest_deltas', 'manifest_certs']"
47,16,"['files', 'file_deltas', 'revisions', 'revision_ancestry', 'heights', 'rosters', 'roster_deltas', 'next_roster_node_number', 'public_keys', 'revision_certs', 'branch_epochs', 'branch_leaves', 'db_vars', 'manifests', 'manifest_deltas', 'manifest_certs']"
48,16,"['files', 'file_deltas', 'revisions', 'revision_ancestry', 'heights', 'rosters', 'roster_deltas', 'next_roster_node_number', 'public_keys', 'revision_certs', 'branch_epochs', 'branch_leaves', 'db_vars', 'manifests', 'manifest_deltas', 'manifest_certs']"
